City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,santa terezinha,-29.9002,-50.0904,22.579999999999984,77,100,5.9,BR,1712061468
66,puerto armuelles,8.2833,-82.8667,26.24000000000001,78,58,1.79,PA,1712061592
67,bac lieu,9.285,105.7244,28.519999999999982,71,6,3.64,VN,1712061592
68,edinburgh of the seven seas,-37.0676,-12.3116,17.279999999999973,91,100,9.68,SH,1712061469
69,les cayes,18.2,-73.75,25.680000000000007,76,100,3.77,HT,1712061592
70,kingston,17.997,-76.7936,26.680000000000007,74,20,1.54,JM,1712061251
71,yeniseysk,58.4497,92.1703,0.12000000000000455,100,100,4.02,RU,1712061593
72,mount isa,-20.7333,139.5,28.019999999999982,61,75,7.2,AU,1712061472
73,petite riviere,-20.1894,57.4453,26.100000000000023,88,100,6.49,MU,1712061594
74,khalabat,34.06,72.8894,23.879999999999995,38,100,0.85,PK,1712061594
75,yellowknife,62.456,-114.3525,-13.560000000000002,85,75,1.03,CA,1712061594
76,saudarkrokur,65.7461,-19.6394,-1.1899999999999977,61,3,1.88,IS,1712061594
77,bredasdorp,-34.5322,20.0403,23.279999999999973,46,2,5.83,ZA,1712061480
78,yesilyurt,38.2972,38.2497,24.120000000000005,25,5,1.4,TR,1712061595
79,orangeburg,33.4918,-80.8557,19.060000000000002,88,0,2.06,US,1712061595
80,bilibino,68.0546,166.4372,-27.120000000000005,89,19,1.96,RU,1712061483
81,wanning,18.8003,110.3967,25.310000000000002,90,0,4.37,CN,1712061595
82,utrik,11.2278,169.8474,26.970000000000027,75,100,8.9,MH,1712061482
83,sanming,26.2486,117.6186,23.779999999999973,84,3,1.82,CN,1712061595
84,margaret river,-33.95,115.0667,14.54000000000002,70,0,6.7,AU,1712061470
85,crane,31.3974,-102.3501,9.949999999999989,49,0,4.67,US,1712061596
86,tiksi,71.6872,128.8694,-23.19999999999999,93,13,8.32,RU,1712061477
87,lazaro cardenas,17.9583,-102.2,22.089999999999975,80,98,1.56,MX,1712061481
88,tsaratanana,-16.7833,47.65,29.24000000000001,67,74,4.26,MG,1712061597
89,fedorovskiy,45.0972,40.9517,25.629999999999995,25,11,0.82,RU,1712061597
90,udachny,66.4167,112.4,-20.860000000000014,89,53,3.1,RU,1712061470
91,kristiansund,63.1115,7.732,3.180000000000007,64,75,10.29,NO,1712061597
92,khorramabad,33.4878,48.3558,22.939999999999998,17,20,5.14,IR,1712061598
93,sandwip,22.4678,91.4561,29.170000000000016,87,48,7.26,BD,1712061598
94,ulladulla,-35.35,150.4667,13.350000000000023,63,0,1.7,AU,1712061598
95,albina,5.5,-54.05,31.49000000000001,57,63,2.72,SR,1712061598
96,campbellsville,37.3434,-85.3419,20.680000000000007,82,100,4.47,US,1712061598
97,buka,40.8108,69.1986,16.94999999999999,44,100,3.01,UZ,1712061599
98,nabire,-3.3667,135.4833,25.839999999999975,93,100,0.26,ID,1712061599
99,inari,68.906,27.0288,-5.740000000000009,70,5,2.79,FI,1712061599
100,saraktash,51.7866,51.7866,10.829999999999984,90,69,4.69,RU,1712061599
101,pacific grove,36.6177,-121.9166,13.839999999999975,83,0,0.45,US,1712061600
102,thompson,55.7435,-97.8558,-2.759999999999991,74,100,1.03,CA,1712061487
103,turan,16.0678,108.2208,28.139999999999986,83,20,2.57,VN,1712061600
104,la ronge,55.1001,-105.2842,-3.7099999999999795,80,20,0.51,CA,1712061601
105,tolanaro,-25.0319,46.9987,25.189999999999998,73,75,6.17,MG,1712061601
106,st. john's,47.5649,-52.7093,2.4599999999999795,93,100,6.71,CA,1712061308
107,zheleznodorozhnyy,55.7503,38.0042,24.25,81,100,2.68,RU,1712061601
108,saipan,15.1355,145.701,27.730000000000018,1,75,7.2,MP,1712061473
109,aban,56.67,96.06,-0.07999999999998408,99,100,2.39,RU,1712061602
110,nicoya,10.1483,-85.452,26.189999999999998,57,5,1.41,CR,1712061602
111,caratinga,-19.7897,-42.1392,23.05000000000001,89,98,1.55,BR,1712061602
112,canto do buriti,-8.11,-42.9444,31.79000000000002,50,94,1.44,BR,1712061602
113,kita,13.0349,-9.4895,44.72000000000003,13,3,0.57,ML,1712061603
114,east london,-33.0153,27.9116,23.670000000000016,60,0,4.63,ZA,1712061603
115,whitehorse,60.7161,-135.0538,-2.420000000000016,100,75,1.54,CA,1712061603
116,longyearbyen,78.2186,15.6401,-15.939999999999998,60,20,5.14,SJ,1712061294
117,hazaribagh,23.9833,85.35,29.430000000000007,18,99,2.96,IN,1712061604
118,haiku-pauwela,20.9219,-156.3051,21.839999999999975,88,40,7.2,US,1712061604
119,puerto natales,-51.7236,-72.4875,5.399999999999977,81,75,3.09,CL,1712061479
120,iskateley,67.6803,53.1512,-5.949999999999989,94,96,5.36,RU,1712061604
121,maumere,-8.6199,122.2111,27.470000000000027,83,100,2.92,ID,1712061605
122,boysun,38.2061,67.1986,8.699999999999989,73,100,1.06,UZ,1712061605
123,carnarvon,-24.8667,113.6333,28.25999999999999,57,6,8.9,AU,1712061605
124,dudinka,69.4058,86.1778,-9.470000000000027,90,100,6.26,RU,1712061605
125,kapa'a,22.0752,-159.319,23.329999999999984,78,40,8.75,US,1712061481
126,el ksour,35.8961,8.8849,18.75999999999999,31,0,2.27,TN,1712061606
127,papatowai,-46.5619,169.4708,10.45999999999998,90,100,1.85,NZ,1712061606
128,midvagur,62.0511,-7.1939,5.610000000000014,48,75,7.72,FO,1712061606
129,chegdomyn,51.1167,133.0167,-4.759999999999991,99,100,0.88,RU,1712061606
130,port mathurin,-19.6833,63.4167,26.829999999999984,82,97,7.08,MU,1712061607
131,weiser,44.251,-116.9693,8.360000000000014,79,2,0.45,US,1712061607
132,minas de marcona,-15.2119,-75.1103,18.189999999999998,76,17,3.04,PE,1712061607
133,es castell,39.8795,4.2854,18.529999999999973,59,0,4.12,ES,1712061607
134,champerico,14.3,-91.9167,26.70999999999998,74,5,3.16,GT,1712061607
135,aasiaat,68.7098,-52.8699,-6.360000000000014,84,100,1.71,GL,1712061608
136,maues,-3.3836,-57.7186,26.019999999999982,93,100,1.05,BR,1712061608
137,severo-yeniseyskiy,60.3725,93.0408,-2.8600000000000136,74,94,2.24,RU,1712061608
138,gorom-gorom,14.4439,-0.2361,43.360000000000014,8,96,7.48,BF,1712061608
139,cabo san lucas,22.8909,-109.9124,17.79000000000002,63,0,1.79,MX,1712061449
140,kavieng,-2.5744,150.7967,28.05000000000001,81,74,4.94,PG,1712061609
141,tuxpan,19.55,-103.4,15.449999999999989,83,100,1.09,MX,1712061609
142,keflavik,64.0049,-22.5624,4.100000000000023,48,75,6.69,IS,1712061609
143,tazovsky,67.4667,78.7,-9.889999999999986,91,100,5.57,RU,1712061484
144,porto-vecchio,41.591,9.2795,19.889999999999986,34,0,8.23,FR,1712061610
145,narasannapeta,18.4167,84.05,28.79000000000002,73,52,6.01,IN,1712061610
146,tura,25.5198,90.2201,25.0,23,0,0.68,IN,1712061610
147,sake,-1.5736,29.045,20.600000000000023,93,99,1.53,CD,1712061611
148,holualoa,19.6228,-155.9522,21.060000000000002,84,75,2.57,US,1712061611
149,aktau,43.65,51.2,19.470000000000027,41,0,4.61,KZ,1712061611
150,klyuchi,52.2667,79.1667,3.0,97,100,3.3,RU,1712061611
151,kuanda,56.3161,116.0806,-8.95999999999998,85,65,0.59,RU,1712061612
152,coquimbo,-29.9533,-71.3436,15.0,94,75,2.57,CL,1712061612
153,sawakin,19.1059,37.3321,29.389999999999986,70,20,6.21,SD,1712061612
154,isafjordur,66.0755,-23.124,-0.8299999999999841,59,75,4.12,IS,1712061612
155,salalah,17.0151,54.0924,31.19999999999999,45,0,3.6,OM,1712061613
156,lihue,21.9789,-159.3672,22.920000000000016,77,40,8.75,US,1712061613
157,san antonio de pale,-1.4014,5.6325,29.069999999999993,71,64,1.18,GQ,1712061613
158,kone,-21.0595,164.8658,22.389999999999986,90,3,2.15,NC,1712061613
159,aldinga beach,-35.2793,138.4604,17.610000000000014,68,52,3.05,AU,1712061397
160,ballina,-28.8667,153.5667,22.20999999999998,86,8,4.94,AU,1712061614
161,chibougamau,49.9168,-74.3659,-8.060000000000002,73,0,2.06,CA,1712061614
162,mariental,-24.6333,17.9667,32.60000000000002,21,100,3.07,NA,1712061614
163,praia da vitoria,38.7333,-27.0667,19.29000000000002,68,20,13.7,PT,1712061614
164,medina,24.4686,39.6142,22.389999999999986,78,75,10.8,SA,1712061615
165,namibe,-15.1961,12.1522,26.0,74,50,4.31,AO,1712061615
166,arteche,12.2645,125.4048,25.720000000000027,87,100,3.91,PH,1712061615
167,bereznik,62.8551,42.7072,0.25,78,100,3.84,RU,1712061615
168,bennington,42.8781,-73.1968,5.7099999999999795,71,0,0.0,US,1712061615
169,yaren,-0.5472,166.916,27.860000000000014,80,100,2.47,NR,1712061616
170,alofi,-19.0595,-169.9187,27.089999999999975,83,75,6.17,NU,1712061616
171,guatrache,-37.6678,-63.5302,16.189999999999998,50,100,8.5,AR,1712061616
172,port saint john's,-31.6229,29.5448,23.680000000000007,74,83,4.82,ZA,1712061616
173,vilyuchinsk,52.9306,158.4028,1.3000000000000114,79,100,5.27,RU,1712061425
174,monrovia,6.3005,-10.7969,32.01999999999998,71,36,4.76,LR,1712061617
175,altai,46.3722,96.2583,1.8000000000000114,33,100,0.81,MN,1712061617
176,tralee,52.2704,-9.7026,12.29000000000002,76,40,4.63,IE,1712061369
177,divo,5.8397,-5.36,37.420000000000016,40,100,1.0,CI,1712061618
178,portland,45.5234,-122.6762,11.399999999999977,89,75,1.79,US,1712061360
179,luau,-10.7073,22.2247,26.50999999999999,66,99,1.29,AO,1712061618
180,kill devil hills,36.0307,-75.676,12.920000000000016,98,75,3.09,US,1712061581
181,flying fish cove,-10.4217,105.6791,26.970000000000027,83,40,4.12,CX,1712061618
182,petropavlovsk-kamchatsky,53.0452,158.6483,0.4800000000000182,81,0,6.71,RU,1712061478
183,ar rutbah,33.0381,40.2848,27.410000000000025,12,0,2.72,IQ,1712061619
184,amnat charoen,15.9167,104.75,34.05000000000001,31,0,3.33,TH,1712061619
185,naama,33.2667,-0.3167,23.779999999999973,18,82,7.08,DZ,1712061620
186,wailua homesteads,22.0669,-159.378,22.589999999999975,78,40,8.75,US,1712061620
187,yeppoon,-23.1333,150.7333,23.029999999999973,82,1,3.29,AU,1712061620
188,jinghong,21.991,100.7341,26.519999999999982,27,0,2.11,CN,1712061620
189,tual,-5.6667,132.75,29.05000000000001,75,100,2.57,ID,1712061621
190,lensk,60.7253,114.9278,-2.3000000000000114,91,100,4.02,RU,1712061621
191,mahbubabad,17.6167,80.0167,37.26999999999998,20,5,2.7,IN,1712061621
192,antofagasta,-23.65,-70.4,19.75,73,36,0.6,CL,1712061603
193,constitucion,-35.3333,-72.4167,15.300000000000011,55,100,1.41,CL,1712061622
194,touros,-5.1989,-35.4608,31.0,65,100,2.31,BR,1712061246
195,chonchi,-42.6128,-73.8092,10.769999999999982,96,100,5.71,CL,1712061622
196,tabuk,17.4189,121.4443,24.480000000000018,75,0,1.47,PH,1712061622
197,port alfred,-33.5906,26.891,21.360000000000014,71,1,4.92,ZA,1712061623
198,nar'yan-mar,67.6713,53.087,-9.5,84,95,7.71,RU,1712061623
199,klaksvik,62.2266,-6.589,5.660000000000025,61,100,14.57,FO,1712061623
200,kalmunai,7.4167,81.8167,28.80000000000001,76,1,4.38,LK,1712061623
201,bamboo flat,11.7,92.7167,30.19999999999999,66,20,2.06,IN,1712061623
202,thinadhoo,0.5333,72.9333,28.75,72,71,0.96,MV,1712061624
